Time (ns),RMSD (Å)
0,1.689905
1,1.984914
2,2.061219
3,2.1764449999999997
4,2.193984
5,2.15429
6,2.1620589999999997
7,2.103749
8,1.966199
9,1.994279
10,2.264044
11,2.1849950000000002
12,2.401618
13,2.596901
14,2.605389
15,2.695631
16,2.539589
17,2.451727
18,2.3963579999999998
19,2.791807
20,2.786789
21,2.516641
22,2.503157
23,2.468298
24,2.3980010000000003
25,2.2127269999999997
26,2.194406
27,2.164174
28,2.280196
29,2.371139
30,2.351605
31,2.539304
32,2.9850619999999997
33,3.00954
34,3.0285539999999997
35,2.9387540000000003
36,3.054572
37,2.849279
38,2.7858080000000003
39,2.593191
40,2.691929
41,2.701258
42,2.693354
43,2.941554
44,2.557194
45,2.768625
46,2.588329
47,2.767361
48,2.697474
49,2.7507409999999997
50,2.7658139999999998
51,2.9266590000000003
52,3.183977
53,3.1289089999999997
54,2.868881
55,3.0255970000000003
56,2.855329
57,2.834887
58,2.799369
59,2.6183780000000003
60,2.5626170000000004
61,2.623091
62,2.451938
63,2.570208
64,2.4865049999999997
65,2.548346
66,2.6996179999999996
67,2.778374
68,2.9534930000000004
69,3.29573
70,3.252877
71,3.543453
72,3.548977
73,3.360257
74,3.410761
75,3.3733530000000003
76,2.84417
77,3.007327
78,3.165161
79,3.1138850000000002
80,3.254921
81,3.324382
82,3.494224
83,3.237507
84,2.872776
85,2.9045710000000002
86,2.8042149999999997
87,2.97075
88,3.0014550000000004
89,3.161881
90,3.085063
91,3.1254039999999996
92,2.994418
93,3.077127
94,2.957735
95,3.0869600000000004
96,3.035562
97,3.0314530000000004
98,3.059032
99,3.1880930000000003
100,3.246142
101,3.356362
102,3.404769
103,2.920427
104,3.3113040000000002
105,3.281434
106,3.317816
107,3.383793
108,3.3528019999999996
109,3.1824619999999997
110,3.4415530000000003
111,3.7476920000000002
112,3.971909
113,3.6160789999999996
114,3.5118669999999996
115,3.5335840000000003
116,3.7129820000000002
117,3.711473
118,3.678704
119,3.4816599999999998
120,3.3222210000000003
121,3.279821
122,3.5454109999999996
123,3.365939
124,3.3288029999999997
125,3.3825830000000003
126,3.375956
127,3.189569
128,3.651363
129,3.1619979999999996
130,3.1712849999999997
131,3.326275
132,2.9973739999999998
133,2.9389389999999995
134,2.860292
135,2.8569839999999997
136,2.792508
137,3.0776920000000003
138,3.045318
139,3.031101
140,3.400872
141,3.394326
142,3.4711160000000003
143,3.6286419999999997
144,3.503761
145,3.142625
146,3.0222680000000004
147,3.084056
148,2.528937
149,2.776938
150,3.035096
151,2.836603
152,2.511106
153,2.515074
154,2.5776280000000003
155,2.6245459999999996
156,2.892073
157,2.7828429999999997
158,2.8590820000000003
159,2.988557
160,3.008684
161,2.6704950000000003
162,2.95734
163,3.189811
164,3.0789
165,3.0032799999999997
166,3.159264
167,3.1695889999999998
168,3.097032
169,2.545473
170,2.56476
171,2.6679739999999996
172,2.6730720000000003
173,2.711544
174,2.875591
175,2.576
176,2.697903
177,2.710811
178,3.054393
179,3.0097210000000003
180,2.993311
181,2.8299990000000004
182,2.917511
183,2.5643200000000004
184,2.7300510000000004
185,2.915062
186,2.9470729999999996
187,2.678319
188,2.777005
189,2.896277
190,2.819337
191,2.818327
192,2.538593
193,2.420868
194,2.577358
195,2.5093199999999998
196,2.756361
197,2.812874
198,2.8457100000000004
199,3.007549
200,2.863819
201,2.7413600000000002
202,2.6968669999999997
203,2.544262
204,2.45355
205,2.6133210000000004
206,2.654382
207,2.606029
208,2.949194
209,2.971789
210,3.0380450000000003
211,3.138138
212,2.97759
213,2.699293
214,2.438457
215,2.380334
216,2.332338
217,2.225974
218,2.206852
219,2.386227
220,2.373637
221,2.3729240000000003
222,2.457948
223,2.372514
224,2.4512799999999997
225,2.478805
226,2.5104699999999998
227,2.540978
228,2.474162
229,2.470097
230,2.3704669999999997
231,2.305782
232,2.4072999999999998
233,2.393922
234,2.359815
235,2.359864
236,2.32909
237,2.292037
238,2.2897540000000003
239,2.29842
240,2.317576
241,2.38049
242,2.339694
243,2.456006
244,2.440535
245,2.426789
246,2.490407
247,2.436387
248,2.45857
249,2.6087819999999997
250,2.50464
251,2.70313
252,2.6307440000000004
253,2.489916
254,2.5244839999999997
255,2.5024100000000002
256,2.680982
257,2.665437
258,2.661349
259,2.623686
260,2.690221
261,2.697638
262,2.730902
263,2.918341
264,2.7799220000000004
265,2.7136880000000003
266,2.811138
267,2.816062
268,2.821648
269,2.7115460000000002
270,2.7185669999999997
271,2.842943
272,2.94881
273,2.782864
274,2.8390690000000003
275,2.817914
276,2.833231
277,2.7398439999999997
278,2.790555
279,2.739742
280,2.8452710000000003
281,2.7859070000000004
282,2.821127
283,2.8153449999999998
284,2.8615679999999997
285,2.867429
286,2.943678
287,2.9916539999999996
288,3.034147
289,2.8428769999999997
290,3.000419
291,3.182502
292,3.065403
293,3.000413
294,3.096151
295,3.16317
296,3.0316789999999996
297,2.849406
298,2.992514
299,2.987151
300,2.938562
301,2.9103410000000003
302,3.080657
303,3.067292
304,2.9261700000000004
305,2.937164
306,2.916341
307,2.91672
308,2.833956
309,2.863464
310,2.9367129999999997
311,3.049891
312,2.9772770000000004
313,3.011495
314,2.875296
315,2.873476
316,3.026891
317,3.106322
318,3.0421460000000002
319,3.0111939999999997
320,3.064221
321,3.026317
322,3.0801659999999997
323,3.0110129999999997
324,3.0727569999999997
325,3.094964
326,3.170618
327,3.194388
328,3.111445
329,3.147176
330,3.124122
331,3.286431
332,3.225981
333,3.166703
334,2.977561
335,3.007876
336,3.209978
337,3.022396
338,2.864855
339,2.8616
340,2.8552370000000002
341,2.796797
342,2.7127679999999996
343,2.8210800000000003
344,2.694649
345,2.6157690000000002
346,2.634433
347,2.57971
348,2.7536970000000003
349,2.776388
350,2.861381
351,2.886308
352,3.105472
353,2.870983
354,2.908314
355,2.9301429999999997
356,2.91418
357,2.895153
358,2.908413
359,2.9767360000000003
360,3.087479
361,3.142751
362,3.1576889999999995
363,3.140041
364,3.168884
365,3.164089
366,3.0124340000000003
367,3.357627
368,3.512591
369,3.462758
370,3.263143
371,3.3009730000000004
372,3.450189
373,3.3373790000000003
374,3.382661
375,3.329447
376,3.331781
377,3.314396
378,3.010334
379,3.260625
380,3.2904790000000004
381,3.385564
382,3.1228930000000004
383,2.920044
384,3.1111790000000004
385,3.028398
386,3.135668
387,3.2760109999999996
388,3.3099000000000003
389,3.233549
390,2.882951
391,2.6193720000000003
392,2.524339
393,2.490274
394,2.51828
395,2.707544
396,2.6780790000000003
397,2.6093360000000003
398,2.482534
399,2.581622
400,2.5356889999999996
401,2.401307
402,2.5018979999999997
403,2.5889089999999997
404,2.798246
405,2.716383
406,2.810174
407,2.7596100000000003
408,2.757292
409,2.827254
410,2.891814
411,2.873067
412,2.760723
413,2.620029
414,2.590372
415,2.492231
416,2.52203
417,2.669031
418,2.707432
419,2.646379
420,2.681179
421,2.77284
422,2.7597899999999997
423,2.774619
424,2.770603
425,2.9259530000000002
426,2.92761
427,2.95283
428,3.031721
429,2.9371229999999997
430,2.954019
431,2.97636
432,2.976729
433,2.907
434,2.7121069999999996
435,2.7677899999999998
436,2.77517
437,2.865756
438,2.7540820000000004
439,2.769006
440,2.862439
441,3.082175
442,2.980018
443,2.936318
444,3.064663
445,2.7931259999999996
446,3.0143060000000004
447,3.14521
448,2.9750150000000004
449,2.933161
450,3.234221
451,3.216173
452,3.261591
453,3.3979610000000005
454,3.563568
455,3.6884500000000005
456,3.6125920000000002
457,3.448574
458,3.333254
459,3.069593
460,3.178728
461,3.136911
462,3.2317110000000002
463,3.499223
464,3.223935
465,3.0584379999999998
466,3.3765249999999996
467,3.449177
468,3.505422
469,3.413876
470,3.3262669999999996
471,3.495312
472,3.534783
473,3.330354
474,3.39577
475,3.583165
476,3.452624
477,3.1658600000000003
478,3.125034
479,3.304865
480,3.226941
481,3.118406
482,3.289805
483,3.623596
484,3.7637150000000004
485,3.62606
486,3.502761
487,3.2793400000000004
488,3.256914
489,3.2889
490,3.3634839999999997
491,3.271775
492,3.177362
493,3.1456009999999996
494,3.1673419999999997
495,3.1050310000000003
496,3.101264
497,3.256845
498,3.1377289999999998
499,3.198265
500,3.270103
