Time (ns),RMSD (Å)
0,1.0839088000000001
1,1.5089318999999999
2,1.5604867
3,1.6200556
4,1.6999789
5,1.7619851
6,1.9168949
7,2.2123829
8,2.2242355
9,2.1976818
10,1.9048273
11,1.8497837000000001
12,1.9426023
13,2.1917687
14,2.4197419
15,2.4649556
16,2.3161952
17,2.1760784
18,2.178934
19,2.3390511
20,2.3159463000000002
21,2.3858536
22,2.3925386
23,2.5576167
24,2.524145
25,2.5707163
26,2.3623839
27,2.3461878
28,2.4338645
29,2.4517912
30,2.3695332000000002
31,2.4325899
32,2.3241341
33,2.4504835
34,2.2589154000000002
35,2.4978422
36,2.5076523
37,2.4491906
38,2.5375529
39,2.5527977
40,2.4905374
41,2.7696083
42,2.9682715999999996
43,3.0198926999999998
44,3.1124786
45,2.9420022
46,2.7649349
47,2.8337637
48,3.0985829000000003
49,2.9955907
50,3.0152953
51,3.2890395
52,3.2555104999999998
53,3.3152179
54,3.109842
55,3.1627875
56,3.5418796
57,3.4732626
58,3.5308978999999994
59,3.3865699
60,3.1118619
61,2.919294
62,2.9123761
63,3.1983107
64,3.5900604000000005
65,3.4413751999999995
66,3.4624304
67,3.4409899999999998
68,3.6171388999999996
69,3.6383941
70,3.7507316999999993
71,3.6293023
72,3.2380686999999995
73,3.5194691000000002
74,3.8753450000000003
75,3.379667
76,3.6864759000000005
77,3.4964329
78,3.5523864
79,3.8171292
80,3.5205421
81,3.3444793
82,3.2634295999999994
83,3.2085462
84,3.2508454
85,3.314578
86,3.2068888
87,3.1236355
88,3.2857087
89,3.4084111999999998
90,3.5615067
91,3.5121484999999995
92,3.3535174000000003
93,3.2520819000000003
94,3.3676268
95,3.2505071
96,3.4418491
97,3.2570801
98,3.0490237
99,3.0864501
100,3.0096618
101,2.9692446
102,3.0091172999999998
103,3.0912908999999997
104,3.1752279
105,3.5128557999999996
106,3.7416465
107,3.8744816999999996
108,4.0883916
109,4.0428829
110,4.2627341
111,4.3832303
112,3.8960518
113,3.9116938
114,3.9663952
115,4.2214924
116,4.3822141
117,4.2935618
118,4.2103742
119,4.2389149
120,4.1970634
121,4.1050572
122,4.1190831
123,4.2744805
124,4.2771214
125,4.0856715999999995
126,4.2900464
127,4.3122971
128,4.3378347999999995
129,4.429167
130,4.2227053
131,4.2969345
132,4.0005182
133,3.7770548
134,3.6534015
135,3.8829640999999997
136,4.0548911
137,4.008312
138,3.8440951
139,3.7505799
140,3.8397053
141,3.9384624
142,4.0387365
143,3.9096729999999997
144,3.8847730999999994
145,3.7527819
146,3.8947373
147,4.015258
148,3.7757363
149,3.8686903
150,3.7431692
151,3.8673013000000003
152,4.1618986
153,3.9387090000000002
154,3.7692213
155,3.9385570000000003
156,3.8126789
157,4.034209
158,4.0449895
159,4.1317756
160,3.9626984
161,3.8317019
162,3.7003825
163,3.6778708
164,3.5438747999999998
165,3.4738557000000005
166,3.6629032
167,3.6690709
168,3.6741336
169,3.426341
170,3.4097705
171,3.5536046999999997
172,3.662929
173,3.5522759000000006
174,3.4999005
175,3.5431847999999997
176,3.5690715
177,3.6109911
178,3.6125117
179,3.7990605
180,3.8716304
181,3.7289048000000005
182,3.7929156
183,3.7530257000000002
184,3.6465347
185,3.4833724
186,3.6215848
187,3.6619551
188,3.7585038000000006
189,3.8054576
190,3.9798881
191,3.8095610000000004
192,3.6661052
193,3.7539174
194,3.7680064999999994
195,3.6916109
196,3.7687522
197,3.8591412
198,3.6458237999999996
199,3.5131604999999997
200,3.5322699
201,3.5853629
202,3.3464722
203,3.362959
204,3.4389849999999997
205,3.4572734
206,3.4451653
207,3.7606267
208,3.5686830999999994
209,3.6007041
210,3.5288035
211,3.4283073
212,3.4695300000000002
213,3.3544012
214,3.4174594
215,3.4511522
216,3.5525404000000007
217,3.160012
218,3.396427
219,3.0557503
220,2.9190565999999993
221,3.1889186
222,3.3148161
223,3.1111226
224,3.139695
225,2.9464216
226,3.1602375
227,3.1852425
228,3.1582481
229,3.4233861
230,3.691644
231,3.7414883
232,3.706338
233,3.7714887
234,3.7160227
235,3.9556971
236,3.8885769
237,3.9860972
238,3.9942137
239,4.0612473
240,3.9988771
241,3.9212593
242,4.1638414
243,4.0526547
244,3.9830209
245,4.0451064
246,3.8335295
247,3.907227
248,4.0928213
249,4.301419
250,4.0585618
251,3.9032432
252,3.8826304
253,3.8378974
254,3.8203239
255,3.7496479
256,3.8424230999999995
257,4.0306497
258,4.0163968
259,3.9012696
260,4.1094743000000005
261,4.228972
262,4.152277
263,4.3563693
264,4.3290323
265,4.2392575
266,4.6079839
267,4.5191865
268,4.5248331
269,4.6942661
270,4.2904856
271,4.4950501
272,4.9323932
273,5.0240421
274,4.6147573
275,4.6946314
276,4.3375667
277,4.3359555
278,4.3703039
279,4.2685758
280,4.4788981
281,4.4645621
282,4.5544121
283,4.9268334
284,4.8777402
285,4.7837474
286,4.7400943
287,4.6992657
288,4.6557532
289,4.6567847
290,4.5350405
291,4.5758934
292,4.6137607
293,4.4890943
294,4.4943241
295,4.3741945
296,4.1552098
297,4.2394424
298,4.451527
299,4.4166896
300,4.4043133
301,4.3073937
302,4.2180792
303,4.1303065
304,4.3298064
305,4.4570636
306,4.0441374
307,4.5269568
308,4.5000582
309,4.5009311
310,4.4959203
311,4.5550703
312,4.5714582
313,4.5340095
314,4.3705863
315,4.6520845
316,4.5278582
317,4.3441672
318,4.3046447
319,4.6048533
320,4.6498342
321,4.7489991
322,4.3725737
323,4.2008994
324,4.3782843
325,4.1258738
326,4.0329219
327,4.1140228
328,4.3675323
329,4.2377766
330,4.4151796
331,4.2538558
332,4.3861902
333,4.5918908
334,4.4657003
335,4.4504112
336,4.1598218
337,4.2509457
338,4.4797161
339,4.7566868
340,4.7695533
341,4.6806271
342,4.5655377
343,4.2657138
344,4.1097114
345,4.2412469
346,4.1451993
347,4.061448
348,4.3811083
349,4.2730406
350,4.5166296
351,4.356672
352,4.0364041
353,4.0076472
354,4.1845688
355,4.0938517
356,4.2414425
357,4.3365348
358,4.1551174
359,4.561774
360,4.3285843
361,4.3555637
362,4.3802757
363,4.205013
364,4.0770754
365,4.186543
366,4.0459791
367,4.0367042
368,4.2689415
369,4.1643994
370,4.2034392
371,4.275746
372,4.1430589
373,4.399624
374,4.0952982
375,4.4254979
376,4.5061373
377,4.7233611
378,4.6836551
379,4.4685542
380,4.3425713
381,4.1938333
382,4.1253223
383,4.147273
384,4.1712381
385,4.1954336
386,4.1266221
387,4.1663052
388,4.5339769
389,4.5593876
390,4.2117561
391,4.2764123000000005
392,4.2827826
393,4.1201856
394,3.9335433
395,4.0087492
396,4.0747519
397,3.9064116
398,3.8944928
399,3.9927731
400,3.8887863
401,4.1319471
402,4.211453
403,4.3461554
404,4.2457872
405,4.1952682
406,4.2338207
407,4.2585319
408,4.4123665
409,4.2673057
410,4.1624875
411,4.1220283
412,4.1169938
413,4.1228939
414,4.2237692000000004
415,4.1740108
416,4.1622447
417,4.1288682
418,4.2058432
419,4.0619133000000005
420,3.8977185
421,3.9877211999999993
422,4.1004555
423,4.1072219
424,3.8870352
425,3.6848910000000004
426,3.7988008
427,3.8723944
428,4.0825958
429,3.8808976
430,4.0459729
431,4.10721
432,4.148103
433,4.1599365
434,4.188144
435,4.1850063
436,4.0332234
437,4.1216446
438,3.9654317
439,3.9499521
440,4.0509791
441,3.9917253
442,3.8385938
443,4.031477
444,4.0196606
445,4.0863093
446,4.1070119
447,4.1229291
448,4.1473376
449,3.9602765
450,4.0366779
451,4.0630663
452,4.0757988
453,3.9985149
454,3.8713523
455,3.8437115
456,3.7513308
457,3.8457796
458,4.2018898
459,4.1483083
460,4.0647077000000005
461,3.9993299999999996
462,3.9146335
463,3.8757501
464,4.0718339
465,4.3238905
466,4.326134
467,4.0941016
468,4.0836918
469,3.9400727999999994
470,3.9515144
471,4.0285853
472,3.9990115
473,3.9107008
474,3.6412378
475,3.7042063
476,3.7941259
477,4.0011414
478,3.9694402
479,3.9000874000000003
480,3.8989051999999997
481,3.9744488000000002
482,3.9298006
483,3.8751217000000002
484,3.9552503
485,4.1310959
486,3.9921688
487,3.9191615000000004
488,4.0716106
489,4.0820122
490,4.1036077
491,4.0452734
492,4.0131067
493,4.1901615
494,4.1600817
495,3.990665
496,4.1016995
497,4.0251166
498,4.0966586
499,4.0271688
500,3.9259440000000003
