Time (ns),RMSD (Å)
0,1.4110348
1,1.9481122000000002
2,2.0724994
3,2.3847483
4,2.1193296
5,2.1790698
6,2.2302693000000002
7,2.1494598
8,2.5121633
9,2.7569525
10,2.901977
11,2.8550962
12,2.9229413000000006
13,2.78546
14,2.4671219
15,2.3191273
16,2.1444389
17,2.2365570999999997
18,2.4703019
19,2.6503384
20,2.5516945999999994
21,2.6431196999999997
22,2.5637869
23,2.4220402
24,2.4255987
25,2.7532005999999996
26,2.8079528
27,2.9935816000000006
28,2.8224846
29,2.9627677
30,2.9955373
31,2.9711388999999997
32,2.942909
33,2.9999746
34,2.9214897
35,2.6082663999999998
36,2.7302199
37,2.784456
38,3.1183155
39,2.9701248000000002
40,2.9198987
41,2.9016447000000003
42,2.8846017
43,3.0603724
44,3.240856
45,3.329167
46,3.167699
47,3.1310528
48,3.0331959
49,2.6090386
50,2.8111539
51,2.8346567
52,2.8984693
53,2.8531262
54,2.9203964
55,3.0090529
56,2.9695266
57,3.0564918
58,3.0497524
59,3.1348565
60,3.0965198
61,2.8245422
62,2.8547856
63,2.8402382
64,2.7977782
65,2.9826951
66,2.9408766
67,2.9487639
68,2.9495389999999997
69,2.9882102
70,2.9183312
71,2.9190538
72,2.9349397
73,2.8751895999999997
74,2.9069657000000007
75,2.8765741
76,2.9360916
77,3.0053624
78,2.966195
79,2.91622
80,2.9109353999999996
81,2.9865901
82,2.8780514000000004
83,2.8134596
84,2.7932240999999998
85,2.8050215
86,2.8131407
87,2.9240715
88,2.9439609
89,2.967446
90,3.0318745
91,2.8672018
92,2.9224947
93,3.0675112
94,2.9780096
95,2.9832471
96,3.2121323000000004
97,3.2115320999999994
98,3.1592245
99,3.2317361
100,3.1238387000000003
101,3.2542408
102,3.1646379
103,3.1382443
104,3.0477279
105,3.0559286
106,3.0474688
107,3.1184032999999998
108,3.1118706
109,3.1833279999999995
110,3.1197446
111,3.1548604000000005
112,3.2456269
113,3.5786682
114,3.7497728
115,3.7140515
116,3.7929069999999996
117,3.6515301
118,3.4881867
119,3.5251487
120,3.7165288
121,3.5284369
122,3.6948511
123,3.5705431
124,3.5562616999999994
125,3.7311824
126,3.7660402
127,3.7644390000000003
128,3.8997182
129,3.9192268
130,3.7779051
131,3.2316009
132,3.0388916999999998
133,3.0156431
