Time (ns),RMSD (Å)
0,1.1591882
1,1.5689924999999998
2,2.030909
3,2.4152408
4,2.0829987
5,1.833993
6,1.7278134
7,1.8109266
8,1.9062346
9,1.7972256
10,1.8518554
11,1.9426312
12,1.7570329
13,1.8398432
14,1.9018905
15,1.9206922
16,1.9647513
17,2.275399
18,2.0350181
19,2.1956449
20,1.9834794
21,1.9583017
22,1.964324
23,2.3121367
24,2.2959171
25,2.1795606
26,2.245905
27,2.5330751
28,2.7790361
29,2.6704508999999996
30,2.9496819
31,2.7102861000000003
32,2.7352106
33,2.5511216
34,2.5993601
35,2.4317018
36,2.7491333
37,2.5917438000000006
38,2.6782858
39,2.8171261
40,2.8933543999999998
41,3.3313079
42,3.1961889
43,3.0280188
44,3.4708055
45,3.3692445000000006
46,3.5188764
47,3.6015158000000005
48,3.3732659
49,3.3483159000000002
50,3.1319547000000005
51,2.9957069
52,2.9252692
53,3.0374883
54,2.864657
55,3.1420004
56,3.2325887
57,2.9667571000000006
58,3.0392218
59,3.1258081
60,2.9199859999999997
61,2.8977521
62,2.6074265
63,2.6731338
64,2.7318427
65,2.9974194
66,3.1480264999999994
67,2.8911347999999997
68,2.8533507
69,2.8055075
70,3.0143428
71,2.9117996
72,2.9832383
73,2.8085075999999995
74,3.1487865
75,3.4204719
76,2.9548612
77,2.5663423
78,2.832162
79,2.915635
80,2.8364851
81,2.8968247
82,3.1776931
83,3.1647343
84,3.1476639
85,3.3066267
86,3.4138196
87,3.0815731
88,2.9448314
89,2.9515038000000002
90,3.0241049
91,3.0507381000000002
92,2.9932135
93,3.0945106
94,3.0687949
95,2.6331031
96,2.6841366
97,2.4233726
98,2.6026332
99,2.5146512
100,2.6734852
101,2.5659166
102,2.6415944
103,2.7921764000000007
104,2.7990622
105,2.7304896000000003
106,2.8331556000000004
107,2.6006910999999997
108,2.709997
109,2.6128857
110,2.7603621
111,2.6433453
112,2.473214
113,2.4713356
114,2.4114627
115,2.316091
116,2.2410236
117,2.6498589
118,2.7045912
119,2.7861124999999998
120,2.8422682
121,2.7510558
122,2.4991282
123,2.5577121
124,2.8259693
125,2.5840845000000003
126,2.7229602
127,2.7085214000000004
128,2.7257344
129,2.6027608000000004
130,2.9460026
131,3.0037802000000005
132,3.2032587
133,3.0914171
134,2.9193843
135,2.8818158
136,3.0247878
137,3.1659239
138,3.4201705999999996
139,3.2654511
140,3.1818025
141,3.4194756
142,3.6842958
143,3.4831463
144,3.4491901
